"_Elapsed_time_","_HR_","_PULSE_","_ABP_Sys_","_ABP_Dias_","_ABP_Mean_","_PAP_Sys_","_PAP_Dias_","_PAP_Mean_","_ART_Sys_","_ART_Dias_","_ART_Mean_","_RESP_","_ST_I_","_ST_II_","_ST_III_","_ST_AVR_","_ST_AVL_","_ST_AVF_","_ST_V_","_ST_MCL_","_SpO2_","_PVC_Rate_per_Minute_","_Rhythm_Status_","_Ectopic_Status_"
"33.000","98.000","95.000","94.000","62.000","80.000","42.000","29.000","34.000","100.000","62.000","84.000","15.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"34.000","98.000","94.000","94.000","62.000","81.000","41.000","27.000","32.000","100.000","61.000","84.000","15.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"35.000","98.000","95.000","94.000","63.000","81.000","42.000","29.000","33.000","100.000","62.000","84.000","15.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"36.000","98.000","95.000","94.000","62.000","80.000","42.000","29.000","33.000","100.000","62.000","84.000","15.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","98.000","0.000","63014.000","63062.000"
"37.000","98.000","96.000","94.000","62.000","81.000","38.000","22.000","29.000","100.000","62.000","84.000","15.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"38.000","98.000","96.000","94.000","62.000","81.000","40.000","25.000","31.000","100.000","62.000","84.000","16.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"39.000","98.000","96.000","94.000","62.000","81.000","40.000","25.000","31.000","100.000","62.000","84.000","16.000","0.000","0.500","0.600","-0.100","-0.200","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"40.000","98.000","97.000","94.000","63.000","81.000","40.000","26.000","32.000","100.000","62.000","84.000","16.000","0.100","0.600","0.500","-0.200","-0.100","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"41.000","98.000","97.000","94.000","63.000","81.000","40.000","26.000","32.000","100.000","62.000","84.000","16.000","0.100","0.600","0.500","-0.200","-0.100","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"42.000","98.000","97.000","94.000","62.000","81.000","40.000","26.000","31.000","100.000","62.000","84.000","17.000","0.100","0.600","0.500","-0.200","-0.100","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"43.000","99.000","97.000","94.000","62.000","81.000","40.000","25.000","31.000","100.000","62.000","84.000","17.000","0.100","0.600","0.500","-0.200","-0.100","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"44.000","98.000","97.000","94.000","62.000","81.000","40.000","26.000","31.000","100.000","62.000","84.000","20.000","0.100","0.600","0.500","-0.200","-0.100","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
"45.000","98.000","97.000","94.000","62.000","81.000","39.000","25.000","31.000","100.000","62.000","84.000","20.000","0.100","0.600","0.500","-0.200","-0.100","0.500","2.400","2.600","97.000","0.000","63014.000","63062.000"
